term,category
acetic,acid
achiote,aromatic
acid,acid
agave,sweet
aji,pepper
aleppo,pepper
allspice,aromatic
anaheim,pepper
ancho,pepper
anchovy,umami
and,other
annatto,aromatic
apple,acid
apricot,produce
arbol,pepper
arrowroot,thickener
ascorbic,preservative
avocado,oil
balsamic,acid
basil,aromatic
bay,aromatic
beet,produce
bell,produce
benzoate,preservative
bhut,pepper
bird,pepper
bisulfite,preservative
bonito,umami
bonnet,pepper
brine,other
brown,sweet
butter,dairy_egg
calabrian,pepper
calcium,preservative
cane,sweet
canola,oil
capsaicin,other
capsicum,other
caramel,other
cardamom,aromatic
carolina,pepper
carrageenan,thickener
carrot,produce
carrots,produce
cascabel,pepper
cayenne,pepper
celery,aromatic
cellulose,thickener
cheese,dairy_egg
chile,pepper
chiles,pepper
chili,pepper
chilli,pepper
chipotle,pepper
chloride,preservative
cider,acid
cilantro,aromatic
cinnamon,aromatic
citrate,preservative
citric,acid
clove,aromatic
coconut,oil
color,other
colors,other
concentrate,other
contains,other
coriander,aromatic
corn,produce
cornstarch,thickener
cream,dairy_egg
cucumber,produce
culture,other
cultured,other
cumin,aromatic
date,produce
datil,pepper
dehydrated,other
dextrose,sweet
dill,aromatic
distilled,acid
dried,other
edta,preservative
egg,dairy_egg
erythorbate,preservative
erythritol,sweet
extract,umami
fatalii,pepper
fennel,aromatic
fermented,other
fig,produce
filtered,other
fish,umami
flavor,other
flavoring,other
flavors,other
fresno,pepper
fructose,sweet
garlic,pepper
ghost,pepper
ginger,aromatic
glucose,sweet
glutamate,umami
grapeseed,oil
guajillo,pepper
guar,thickener
gum,thickener
habanero,pepper
hatch,pepper
honey,sweet
jalapeno,pepper
jalapeño,pepper
jolokia,pepper
juice,acid
kelp,umami
kosher,other
lactic,acid
lemon,acid
less,other
lime,acid
malic,acid
mango,produce
maple,sweet
mash,other
may,other
milk,dairy_egg
miso,umami
modified,thickener
molasses,sweet
monosodium,umami
msg,umami
mulato,pepper
mushroom,umami
mustard,aromatic
naga,pepper
natural,other
nutmeg,aromatic
of,other
oil,oil
oleoresin,other
olive,oil
onion,pepper
or,other
orange,produce
oregano,aromatic
organic,other
papaya,produce
paprika,aromatic
parsley,aromatic
pasilla,pepper
passion,produce
peach,produce
pectin,thickener
pepper,pepper
peppers,pepper
pequin,pepper
pineapple,produce
piquin,pepper
poblano,pepper
potassium,preservative
powder,other
pumpkin,produce
puree,other
raisin,produce
reaper,pepper
rice,acid
roasted,other
rocoto,pepper
rosemary,aromatic
safflower,oil
salt,pepper
sauce,umami
scorpion,pepper
scotch,pepper
sea,other
serrano,pepper
sesame,oil
sherry,acid
shishito,pepper
smoked,aromatic
sodium,preservative
sorbate,preservative
soy,umami
soybean,oil
spice,other
spices,other
squash,produce
starch,thickener
stevia,sweet
sucralose,sweet
sugar,pepper
sunflower,oil
syrup,sweet
tabasco,pepper
tamarind,acid
tapioca,thickener
thai,pepper
than,other
thyme,aromatic
tomatillo,produce
tomato,pepper
trinidad,pepper
turmeric,aromatic
vegetable,oil
vinegar,pepper
vinegars,acid
water,pepper
whey,dairy_egg
white,acid
wine,acid
with,other
worcestershire,umami
xanthan,thickener
yeast,umami
yolk,dairy_egg
aan,off_corpus
aardappel,off_corpus
aardappelen,off_corpus
aardappelzetmeel,off_corpus
aardbei,off_corpus
aardbeien,off_corpus
abattus,off_corpus
abcde,off_corpus
abeja,off_corpus
abf,off_corpus
abierto,off_corpus
ability,off_corpus
about,off_corpus
above,off_corpus
abricot,off_corpus
abricots,off_corpus
abrir,off_corpus
acacia,off_corpus
acai,off_corpus
according,off_corpus
acd,off_corpus
ace,off_corpus
aceite,off_corpus
aceites,off_corpus
aceituna,off_corpus
aceitunas,off_corpus
acentuador,off_corpus
acerola,off_corpus
acessulfame,off_corpus
acesulfaam-k,off_corpus
acesulfam,off_corpus
acesulfam-k,off_corpus
acesulfame,off_corpus
acesulfame-k,off_corpus
acesulfame-potassium,off_corpus
acesulfamo,off_corpus
acetate,off_corpus
acetates,off_corpus
acetato,off_corpus
aceto,off_corpus
acetylated,off_corpus
ach,off_corpus
achicoria,off_corpus
aci,off_corpus
acide,off_corpus
acides,off_corpus
acidez,off_corpus
acidi,off_corpus
acidifiant,off_corpus
acidifiants,off_corpus
acidificante,off_corpus
acidificanti,off_corpus
acidifier,off_corpus
acidifiers,off_corpus
acidifying,off_corpus
acidit,off_corpus
aciditate,off_corpus
acidity,off_corpus
acido,off_corpus
acidophilus,off_corpus
acidos,off_corpus
acids,off_corpus
acidul,off_corpus
acidulant,off_corpus
acidulante,off_corpus
acidulantes,off_corpus
acidulants,off_corpus
acizi,off_corpus
acizilor,off_corpus
ackerbohnenprotein,off_corpus
acqua,off_corpus
acrylates,off_corpus
act,off_corpus
actiregularis,off_corpus
active,off_corpus
activity,off_corpus
actual,off_corpus
ada,off_corpus
add,off_corpus
added,off_corpus
addensante,off_corpus
addensanti,off_corpus
additif,off_corpus
additifs,off_corpus
addition,off_corpus
additional,off_corpus
additive,off_corpus
additives,off_corpus
adds,off_corpus
ade,off_corpus
adidos,off_corpus
adipic,off_corpus
aditivos,off_corpus
adniki,off_corpus
ado,off_corpus
adobo,off_corpus
adult,off_corpus
adulto,off_corpus
adults,off_corpus
adverse,off_corpus
advice,off_corpus
aestivum,off_corpus
affermissant,off_corpus
affin,off_corpus
affumicatura,off_corpus
afin,off_corpus
afkomstig,off_corpus
africa,off_corpus
afrique,off_corpus
after,off_corpus
agar,off_corpus
agar-agar,off_corpus
agaricus,off_corpus
agavendicksaft,off_corpus
age,off_corpus
aged,off_corpus
agen,off_corpus
agent,off_corpus
agente,off_corpus
agentes,off_corpus
agenti,off_corpus
agents,off_corpus
agiter,off_corpus
aglio,off_corpus
agricole,off_corpus
agricoles,off_corpus
agricoltura,off_corpus
agricultura,off_corpus
agriculture,off_corpus
agrobacterium,off_corpus
agrumes,off_corpus
agrumi,off_corpus
agua,off_corpus
ahumado,off_corpus
aid,off_corpus
aids,off_corpus
aigre,off_corpus
aigua,off_corpus
aiguillettes,off_corpus
ail,off_corpus
aine,off_corpus
aineet,off_corpus
ainesosat,off_corpus
air,off_corpus
ais,off_corpus
aise,off_corpus
aislada,off_corpus
aislado,off_corpus
ait,off_corpus
ajo,off_corpus
ajonjol,off_corpus
ajout,off_corpus
ajouter,off_corpus
ala,off_corpus
alanine,off_corpus
alaska,off_corpus
alb,off_corpus
alba,off_corpus
albacares,off_corpus
albacore,off_corpus
albahaca,off_corpus
albicocca,off_corpus
albicocche,off_corpus
