pepper,shu_max,source_note
bell pepper,0,無辣味品種
pimento,500,常見文獻上限
banana pepper,500,
poblano,2000,
ancho,2000,poblano 乾燥後
mulato,2500,
pasilla,2500,
anaheim,2500,
hatch,4000,新墨西哥品系，逆境會變辣（NMSU）
cascabel,3000,
guajillo,5000,
jalapeno,8000,
jalapeño,8000,
chipotle,8000,jalapeno 煙燻
fresno,10000,
shishito,1000,偶有辣株
serrano,25000,
aleppo,10000,
calabrian,25000,
tabasco pepper,50000,
cayenne,50000,
arbol,30000,
pequin,60000,
piquin,60000,
aji,75000,aji amarillo 等南美品系
thai chili,100000,
bird's eye,100000,
datil,300000,
habanero,350000,
scotch bonnet,350000,
fatalii,400000,
rocoto,250000,
naga,1000000,naga morich／bhut 品系
bhut jolokia,1041427,文獻紀錄值
ghost pepper,1041427,bhut jolokia 同種
scorpion,2009231,Trinidad Moruga Scorpion 文獻紀錄值
trinidad,2009231,
carolina reaper,2200000,金氏紀錄值
reaper,2200000,
