entity_id,brand_key,brand,product_key,product,variant,gtin,heat_shu,heat_basis,us_availability,evidence_url,price,price_currency,buy_url,in_stock,store_domain,first_observed_at,last_observed_at,names_version,matcher_version,prompt_version,sources,source_count,tiers,hotones_seasons,duplicate_candidate,duplicate_candidate_count,duplicate_of_candidates,corroboration,review_count,review_outlets,review_stance_mix,rules_version
sauce:|build-your-own-adoboloco-hot-sauce-trio-choose-your-players,,,build-your-own-adoboloco-hot-sauce-trio-choose-your-players,Build Your Own Adoboloco Hot Sauce Trio – Choose Your Players!,,,,,retail_listing,https://adoboloco.com/shop/build-your-own-hot-sauce-trio/,37.99,USD,https://adoboloco.com/shop/build-your-own-hot-sauce-trio/,True,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
sauce:|hot-sauce-hamajang-smoked-ghost-pepper-1-cs,,,hot-sauce-hamajang-smoked-ghost-pepper-1-cs,HOT SAUCE HAMAJANG SMOKED GHOST PEPPER (1 CS – ),12 Bottles,,,,retail_listing,https://adoboloco.com/shop/eff-whls-cs-hamajang/,51.00,USD,https://adoboloco.com/shop/eff-whls-cs-hamajang/,True,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
sauce:|hot-sauce-jalapeno-mild-red-1-cs,,,hot-sauce-jalapeno-mild-red-1-cs,HOT SAUCE JALAPENO MILD – RED (1 CS – ),12 Bottles,,,,retail_listing,https://adoboloco.com/shop/eff-whls-cs-hot-sauce-jalapeno-mild-red/,51.00,USD,https://adoboloco.com/shop/eff-whls-cs-hot-sauce-jalapeno-mild-red/,True,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
sauce:|fiya-fiya-hot-sauce-scorching-heat-unforgettable-flavor-heat-11-10,,,fiya-fiya-hot-sauce-scorching-heat-unforgettable-flavor-heat-11-10,"FIYA! FIYA! Hot Sauce – Scorching Heat, Unforgettable Flavor – HEAT 11/10",,,,,retail_listing,https://adoboloco.com/shop/fiyafiya/,16.99,USD,https://adoboloco.com/shop/fiyafiya/,True,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
sauce:|garlic-gurl-green-sriracha-the-irresistible-sauce-for-garlic-lovers-heat-03-10,,,garlic-gurl-green-sriracha-the-irresistible-sauce-for-garlic-lovers-heat-03-10,Garlic Gurl Green Sriracha – The Irresistible Sauce for Garlic Lovers! – HEAT 03/10,,,,,retail_listing,https://adoboloco.com/shop/garlic-gurl-sriracha-green/,12.99,USD,https://adoboloco.com/shop/garlic-gurl-sriracha-green/,True,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
sauce:|hamajang-smoky-ghost-unhinged-habanero-bold-flavor-extreme-spice-heat-07-10,,,hamajang-smoky-ghost-unhinged-habanero-bold-flavor-extreme-spice-heat-07-10,"HAMAJANG Smoky Ghost & Unhinged Habanero – Bold Flavor, Extreme Spice – HEAT 07/10",,,,,retail_listing,https://adoboloco.com/shop/hamajang/,12.99,USD,https://adoboloco.com/shop/hamajang/,True,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
sauce:|mix-match-and-savor-adoboloco-s-bold-island-flavors-free-u-s-a-shipping,,,mix-match-and-savor-adoboloco-s-bold-island-flavors-free-u-s-a-shipping,"Mix, Match, and Savor Adoboloco’s Bold Island Flavors – Free U.S.A. Shipping",,,,,retail_listing,https://adoboloco.com/shop/hawaiian-barbecue-sriracha-hotsauce-combo-3-pack-free-shipping/,37.99,USD,https://adoboloco.com/shop/hawaiian-barbecue-sriracha-hotsauce-combo-3-pack-free-shipping/,True,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
sauce:|adoboloco-hawaiian-chili-pepper-water-a-hawaii-classic-with-bold-flavor-heat-03-10,,,adoboloco-hawaiian-chili-pepper-water-a-hawaii-classic-with-bold-flavor-heat-03-10,Adoboloco Hawaiian Chili Pepper Water – A Hawaii Classic with Bold Flavor – HEAT 03/10,,,,,retail_listing,https://adoboloco.com/shop/hawaiian-hot-sauce-hawaiian-chili-pepper-water/,12.99,USD,https://adoboloco.com/shop/hawaiian-hot-sauce-hawaiian-chili-pepper-water/,True,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
sauce:|kolohekid-1-cs,,,kolohekid-1-cs,KOLOHEKID (1 CS – ),12 Bottles,,,,retail_listing,https://adoboloco.com/shop/hot-sauce-kolohekid-1-cs-12-bottles/,51.00,USD,https://adoboloco.com/shop/hot-sauce-kolohekid-1-cs-12-bottles/,True,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
sauce:|hot-sauce-pineapple-habanero-1-cs,,,hot-sauce-pineapple-habanero-1-cs,HOT SAUCE PINEAPPLE HABANERO (1 CS – ),12 Bottles,,,,unknown,https://adoboloco.com/shop/hot-sauce-pineapple-habanero-1-cs-12-bottles/,51.00,USD,https://adoboloco.com/shop/hot-sauce-pineapple-habanero-1-cs-12-bottles/,False,adoboloco.com,2026-09-19T14:01:06.545048Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-2,woo,1,2_longtail,,False,0,,single_source:woo,0,,,v1
