name,brand,origin,note
Original Red Sauce,Tabasco,analyst_recall,路易斯安那經典
Green Jalapeno Sauce,Tabasco,analyst_recall,
Habanero Sauce,Tabasco,analyst_recall,
Chipotle Pepper Sauce,Tabasco,analyst_recall,
Original Cayenne Pepper Sauce,Frank's RedHot,analyst_recall,水牛城辣雞翅的原型
Buffalo Wings Sauce,Frank's RedHot,analyst_recall,
Original Hot Sauce,Cholula,analyst_recall,木塞瓶蓋
Chipotle Hot Sauce,Cholula,analyst_recall,
Green Pepper Hot Sauce,Cholula,analyst_recall,
Louisiana Hot Sauce,Crystal,analyst_recall,
Original Louisiana Hot Sauce,Louisiana Brand,analyst_recall,
Sriracha Hot Chili Sauce,Huy Fong Foods,analyst_recall,公雞牌
Chili Garlic Sauce,Huy Fong Foods,analyst_recall,
Sambal Oelek,Huy Fong Foods,analyst_recall,
Original Habanero Hot Sauce,Secret Aardvark,analyst_recall,波特蘭，胡蘿蔔底
Serrabanero Green Hot Sauce,Secret Aardvark,analyst_recall,
Habanero Condiment,Yellowbird,analyst_recall,奧斯汀
Serrano Condiment,Yellowbird,analyst_recall,
Jalapeno Condiment,Yellowbird,analyst_recall,
Original Black Truffle Hot Sauce,Truff,analyst_recall,
Hotter Hot Sauce,Truff,analyst_recall,
Original Habanero Pepper Sauce,Melinda's,analyst_recall,貝里斯
XXXtra Hot Habanero,Melinda's,analyst_recall,
Green Habanero Hot Sauce,El Yucateco,analyst_recall,猶加敦
Red Habanero Hot Sauce,El Yucateco,analyst_recall,
XXXtra Hot Habanero Sauce,El Yucateco,analyst_recall,
Habanero Pepper Sauce,Marie Sharp's,analyst_recall,貝里斯，胡蘿蔔底
Fiery Hot Habanero Sauce,Marie Sharp's,analyst_recall,
Pineapple Habanero,Queen Majesty,analyst_recall,紐約小批量
Scotch Bonnet and Ginger,Queen Majesty,analyst_recall,
Red Habanero Hot Sauce,Heartbeat Hot Sauce,analyst_recall,加拿大，Hot Ones 常客
Pineapple Habanero Hot Sauce,Heartbeat Hot Sauce,analyst_recall,
Insanity Sauce,Dave's Gourmet,analyst_recall,
Ghost Pepper Naga Jolokia Hot Sauce,Dave's Gourmet,analyst_recall,
Reaper Squeezins,Puckerbutt Pepper Company,analyst_recall,Smokin' Ed 的卡羅萊納死神
The Last Dab Apollo,Heatonist,analyst_recall,Hot Ones 每季最後一瓶
Los Calientes Rojo,Heatonist,analyst_recall,
Hot Honey,Mike's Hot Honey,analyst_recall,辣蜂蜜
Bee Sting Honey,Bushwick Kitchen,analyst_recall,
Small Axe Peppers Bronx Greenmarket Hot Sauce,Small Axe Peppers,analyst_recall,社區農園
Brooklyn Delhi Roasted Garlic Achaar,Brooklyn Delhi,analyst_recall,
Kampot Pepper Hot Sauce,Bravado Spice,analyst_recall,
Black Garlic Carolina Reaper,Bravado Spice,analyst_recall,
Pineapple Jalapeno,Adoboloco,analyst_recall,夏威夷
Hamajang,Adoboloco,analyst_recall,
Zombie Apocalypse,CaJohns,analyst_recall,
Trinidad Scorpion,CaJohns,analyst_recall,
Da Bomb Beyond Insanity,Da Bomb,analyst_recall,以難吃聞名
Sriracha,Yellowbird,analyst_recall,
Garlic Reaper,Torchbearer Sauces,analyst_recall,
Zombie Apocalypse Hot Sauce,Torchbearer Sauces,analyst_recall,
Rogue Ghost Pepper,High River Sauces,analyst_recall,
Tears of the Sun,High River Sauces,analyst_recall,
Karma Sauce Extreme Karma,Karma Sauce,analyst_recall,
Cosmic Disco,Karma Sauce,analyst_recall,
Lucky Dog Year of the Dog,Lucky Dog Hot Sauce,analyst_recall,
Pineapple Express,Volcanic Peppers,analyst_recall,
Red Clay Original Hot Sauce,Red Clay,analyst_recall,南方
Hot Sauce Verde,Fat Cat Gourmet,analyst_recall,
Salsa Macha,Masienda,analyst_recall,
Chili Crisp,Fly By Jing,analyst_recall,四川
Sichuan Chili Crisp,Lao Gan Ma,analyst_recall,老乾媽
Gochujang Hot Sauce,Bibigo,analyst_recall,
Harissa,Mina,analyst_recall,
Piri Piri Sauce,Nando's,analyst_recall,
Salsa Valentina,Valentina,analyst_recall,墨西哥
Salsa Búfalo Clásica,Búfalo,analyst_recall,
Salsa Huichol,Huichol,analyst_recall,
Tapatio Salsa Picante,Tapatio,analyst_recall,
Iguana Original Red,Iguana,analyst_recall,
Pain Is Good Batch 37,Pain Is Good,analyst_recall,
Blair's After Death Sauce,Blair's,analyst_recall,
Sweet Ghost Pepper Sauce,Dawson's,analyst_recall,
Hellfire Devil's Gold,Hellfire Hot Sauce,analyst_recall,
